name,id,all_review_count
보쌈천하,15316330,122
백암순대국,1056666978,121
일미리금계찜닭 교동점,1325291875,119
섭과물망치,15302452,119
강릉떡볶이,1821311733,118
성수족발,1221051877,116
오채연,1449236862,116
맛사랑장칼국수,1284297711,116
영동의정부부대찌개,733311439,116
금강식당,15372699,115
춘천진선닭갈비,37791032,115
송가촌,1167569582,115
초당만두식당,15327200,114
경포삼성관,15352518,114
질가집,1642640928,113
가시버시,1330726128,112
회바라기,1270795527,112
옥계두메산골,1642973454,112
부산부산물센터,1448847214,112
달구지막창 주문진점,1229266906,110
부일손칼국수,32039146,109
금학분식,15372120,108
초시토속식당,15354527,108
미림식당,12808769,107
옛카네이션집,15364541,106
요로코비,36258263,106
강릉짬뽕순두부마법사,2094272054,106
모래내메밀촌,38005185,105
가브리살,1298661690,105
천진동해장국,1317273169,105
손맛을담다,1570395296,105
솔바람감자적,21061573,104
송여사 숯불 왕꼼장어 강릉본점,37691425,104
화부산막국수,1849872224,103
참치이야기,36767003,102
영진보리밥쌈밥,1843519259,102
길목푸드,1364014336,101
미송순두부짬뽕,1381183889,100
진재골,15336190,100
교동면옥식당,1885373079,100
밥먹는마을,15329662,100
신행복식당,15322337,100
금홍대게,15356407,100
사천닭내장탕,1866632720,99
족과의동침 강릉점,37552291,99
법원구내식당,1294584035,98
나마참치,1246457673,97
강남칼국수,32380505,97
소금강추어탕,1232579386,97
가온,2018462147,96
강릉옥,1333300547,96
만억정흑염소,231087604,96
곰치랑대구랑,1359873731,95
현아네식당,1594288352,95
옛진고개식당,35371344,95
춘천마신는닭갈비,15294097,95
춘천택지닭갈비,15380143,94
스시카이토,1418432224,93
암사직화쪽갈비 강릉점,1587239044,93
뼈장군,32736679,92
삼첩분식 주문진점,1136211401,92
동궁염소탕,1916824498,91
갯마을낙지,35074459,89
평진냉면,1690518281,88
성산밥집,1194649037,88
연곡보리밥집,15373850,88
돈마루솥뚜껑,1029274799,87
미향식당,15364381,87
상호네횟집,15696326,86
할매곰치국해물,584356476,86
로타리식당,1062796225,85
매콤이,1085897691,85
청주무심천대게,1173284566,85
김밥나라 주문진점,1020078575,84
한양만두분식,15377936,84
마포주먹고기,21679370,84
강릉사임당술빵,1651613690,83
주막골밥상,36102761,83
강원도엄나무닭강정,1974654226,83
건강밥상,1040680073,83
통통배매운탕,1768642786,82
산마루쌈밥,1051463715,82
애경부침,1129595331,82
안인우리밥상,1312891030,82
찜사랑 생선찜전문점,1065465081,81
심곡홍가네식당,37799505,81
꼬지사께 강릉교동점,1119936930,81
거평 패밀리,1252855803,79
옥래식당,1095838597,79
시골순두부밥상,1671142700,79
치킨인류 내곡홍제점,1129330317,79
해촌해물삼계탕,15386399,79
기와집흑염소,1573050586,78
인사동손칼국시,34266306,78
성산감자전,1478745700,77
본스치킨 입암더샵점,1337808429,77
숨긴뒷고기,1147644788,77
곤지암할매소머리국밥 교동점,1567759390,77
맛있는엄마밥상,15696942,75
나능이버섯백숙,1623103473,75
삼척집,1103963861,74
24시기가막힌감자탕,15345030,74
페리페리버거 강릉안목해변점,1182217392,73
부영메밀전,1293869986,73
아라시,2041883893,73
논고랑추어탕,238003529,72
정선달참나무숯불구이,12035825,72
현대장칼국수 2호점,1964715195,72
해주오가전통육개장,1372768506,72
