name,id,all_review_count
강릉 리프레시펜션,10060854,3
강릉 티마루하우스펜션,10049095,3
강릉 꽃담은강문을담다,10055367,3
강릉 힐링캠프예서원펜션,1000106269,3
강릉 아썸펜션,10063952,3
강릉 스테이서정펜션,10063474,3
강릉 산나물농장펜션(부연동),1000110022,3
강릉 스테이 해든,10064935,3
강릉 연하우스펜션,3009698,3
강릉 노빌레펜션,10062294,2
바르한 by 정원,10061194,2
강릉 대관령안골황토펜션,10063019,2
강릉 스테이오로지펜션,10055287,2
강릉 지지(GG)펜션,10048410,2
강릉 소나무펜션,10055839,2
강릉 JJHUE펜션,10040100,2
강릉 알고보니호텔&풀빌라,10065235,2
강릉 투게더펜션,10048896,2
강릉 마레펜션,10056785,2
강릉 SH펜션,10055697,2
강릉 디하우스(D.HOUSE),10055877,2
강릉 유림스테이,10062450,2
강릉 마야골펜션,10050795,2
강릉 리멤버독채펜션,10052744,2
강릉 미도펜션,10054979,2
강릉 쥬쥬베펜션,1000112653,2
강릉 바람부리애플700펜션,10039394,2
강릉 블루문펜션,10051469,2
강릉 강문소소담독채펜션,10057270,2
강릉 정동진헌화로펜션,10058007,2
강릉 테라머뭄176,10064444,1
강릉 초당더쉼펜션,10057051,1
강릉 스테이키키 staykiki,10063763,1
강릉(주문진) 등대펜션,10060839,1
강릉 강릉애진심펜션,10048525,1
강릉 더 오션스테이 A19,10062044,1
강릉 송이펜션,10059251,1
강릉 라포레펜션,1000108918,1
강릉 심상,10064021,1
강릉 오랍드리펜션,10039504,1
강릉 고전한옥펜션,10061701,1
강릉 소나무숲펜션,10062828,1
강릉 도도하우스1,10061373,1
강릉 정동진소망스테이,10064996,1
강릉 도원펜션,10064836,1
강릉 에버스테이 독채풀빌라,10058064,1
강릉 모래하늘펜션,10060197,1
강릉 학동한옥펜션,1000111263,1
강릉 솔앤계수나무펜션,1000090857,1
강릉 그린밸리펜션,10063562,1
강릉 디니다스펜션,10047592,1
강릉 소나무풍경펜션,10048917,1
강릉 보광캠핑장(보광농촌체험휴양마을),10051257,1
강릉 머뭄풀빌라,10065298,1
강릉 더브리앙뜨펜션,10061268,1
강릉 여유로운가,10065339,1
강릉 마커스 호스텔(MARKERS HOSTEL),3013786,1
강릉 나비잠,10057607,1
강릉 산북150,10057169,1
강릉 서당하우스,10065569,1
강릉 스테이 이플,10061720,1
강릉 소금강펜션,10064032,1
강릉 쉼표펜션,10064424,1
